,Country,Area,Prediction,Actual
636,SOUTH AFRICA,Eastern Cape Province,N,N
637,USA,California,N,N
638,USA,Florida,N,N
639,USA,California,N,N
640,USA,Florida,N,N
641,USA,Florida,N,N
642,MEXICO,Guerrrero,N,UNKNOWN
643,UNITED KINGDOM,Isle of Wight,N,UNKNOWN
644,USA,Florida,N,N
645,USA,Florida,N,N
646,USA,Florida,N,N
647,USA,Hawaii,N,N
648,USA,Florida,N,N
649,USA,Florida,N,N
650,PAPUA NEW GUINEA,"Abau Subdistrict,Central Province",N,Y
651,AUSTRALIA,Queensland,N,N
652,USA,California,N,N
653,AUSTRALIA,Torres Strait,N,Y
654,USA,California,N,N
655,PHILIPPINES,Leyte,N,Y
656,MALTA,Munxar Reef,N,Y
657,CROATIA,Lukovo,N,UNKNOWN
658,MEXICO,Tabasco,N,N
659,AUSTRALIA,South Australia,N,N
660,UNITED KINGDOM,Isle of Wight,N,Y
661,NEW ZEALAND,North Island,N,N
662,USA,Florida,N,N
663,BAHAMAS,Exuma Islands,N,UNKNOWN
664,ENGLAND,Cornwall,N,Y
665,AUSTRALIA,New South Wales,N,N
666,SOUTH AFRICA,Eastern Cape Province,N,N
667,AUSTRALIA,New South Wales,N,Y
668,AUSTRALIA,Torres Strait,N,Y
669,AUSTRALIA,Western Australia,N,Y
670,EQUATORIAL GUINEA / CAMEROON,Fernando Po Island,N,Y
671,IRAN,Shatt-al-Arab River,N,Y
672,AUSTRALIA,New South Wales,N,N
673,USA,California,N,N
674,AUSTRALIA,Western Australia,N,N
675,USA,Hawaii,N,N
676,SOLOMON ISLANDS,Santa Isabel Province,N,N
677,AUSTRALIA,New South Wales,N,Y
678,AUSTRALIA,Queensland,N,N
679,USA,Hawaii,N,N
680,SOUTH AFRICA,Eastern Cape Province,N,N
681,USA,Hawaii,N,N
682,USA,Florida,N,UNKNOWN
683,USA,Florida,N,N
684,NEW CALEDONIA,UNKNOWN,N,Y
685,USA,Florida,N,N
686,USA,Georgia,N,Y
687,SOUTH AFRICA,Western Cape Province,N,N
688,NEW CALEDONIA,UNKNOWN,N,N
689,NEW CALEDONIA,UNKNOWN,N,Y
690,SOUTH AFRICA,Eastern Cape Province,N,UNKNOWN
691,USA,New Jersey,N,Y
692,ITALY,Marches region,N,UNKNOWN
693,NEW CALEDONIA,UNKNOWN,N,N
694,USA,Georgia,N,N
695,NEW CALEDONIA,UNKNOWN,N,Y
696,AUSTRALIA,New South Wales,N,Y
697,USA,Massachusetts,N,N
698,NEW CALEDONIA,UNKNOWN,N,Y
699,AUSTRALIA,New South Wales,N,N
700,FIJI, Lau Province,N,N
701,USA,Florida,N,UNKNOWN
702,USA,Florida,N,N
703,USA,Florida,N,N
704,AUSTRALIA,South Australia,N,N
705,SOUTH AFRICA,Eastern Cape Province,N,N
706,AUSTRALIA,New South Wales,N,Y
707,REUNION,Saint-Leu,N,Y
708,PAPUA NEW GUINEA,Central Province,N,Y
709,SOUTH AFRICA,Western Cape Province,N,N
710,SPAIN,Grand Canary Island,N,N
711,NEW CALEDONIA,UNKNOWN,N,Y
712,AUSTRALIA,New South Wales,N,N
713,SOUTH AFRICA,Western Cape Province,N,N
714,PHILIPPINES,Luzon,N,Y
715,SOUTH AFRICA,KwaZulu-Natal,N,N
716,NEW CALEDONIA,Grand Terre,N,Y
717,AUSTRALIA,New South Wales,N,N
718,FRANCE,Alpes Maritime,N,N
719,NEW CALEDONIA,UNKNOWN,N,Y
720,FIJI,Viti Levu Island,N,N
721,USA,Florida,N,N
722,USA,Florida,N,N
723,REUNION,Saint-Gilles,N,Y
724,USA,Florida,N,N
725,USA,Florida,N,N
726,PAPUA NEW GUINEA,Milne Bay Province,N,Y
727,AUSTRALIA,New South Wales,N,N
728,USA,Florida,N,UNKNOWN
729,USA,Georgia,N,Y
730,USA,Florida,N,N
731,USA,California,N,N
732,IRAQ,Basrah,N,Y
733,EGYPT,Red Sea,N,N
734,MOZAMBIQUE,Limpopo River,N,N
735,JAPAN,Sea of Japan,N,UNKNOWN
736,PHILIPPINES,Central Philippines,N,N
737,USA,Florida,N,N
738,JAPAN,Ehime Prefecture,N,N
739,AUSTRALIA,Western Australia,N,N
740,BRAZIL,Pernambuco,N,N
741,USA,Florida,N,N
742,USA,California,N,N
743,USA,Florida,N,N
744,MEXICO,Tamaulipas,N,Y
745,REUNION,Sainte-Marie,N,N
746,AUSTRALIA,New South Wales,N,N
747,VIETNAM,Binh Dinh Province,N,N
748,USA,Florida,N,N
749,CANADA,British Colombia,N,UNKNOWN
750,USA,Hawaii,N,N
751,MEXICO,Baja California,N,Y
752,REUNION,Saint Leu,N,N
753,USA,New Jersey,N,N
754,NEW ZEALAND,Mercury Islands,N,N
755,AUSTRALIA,New South Wales,N,N
756,Sierra Leone,Western Area,N,N
757,NEW CALEDONIA,UNKNOWN,N,N
758,AUSTRALIA,Victoria,N,Y
759,USA,Florida,N,N
760,SOUTH AFRICA,Western Cape Province,N,N
761,USA,South Carolina,N,N
762,FIJI,Moala Island,N,Y
763,USA,Florida,N,N
764,USA,New Jersey,N,N
765,IRAN,Karun River,N,N
766,USA,Florida,N,N
767,ITALY,40 miles south of Naples ,N,N
768,USA,Florida,N,N
769,SOUTH AFRICA,Western Cape Province,N,N
770,NEW CALEDONIA,South Province,N,Y
771,SOUTH AFRICA,Eastern Cape Province,N,N
772,USA,Florida,N,N
773,USA,Hawaii,N,N
774,SOUTH AFRICA,Eastern Cape Province,N,N
775,NEW CALEDONIA,UNKNOWN,N,Y
776,NEW CALEDONIA,UNKNOWN,N,Y
777,USA,Florida,N,N
778,USA,Texas,N,UNKNOWN
779,AUSTRALIA,New South Wales,N,N
780,USA,South Carolina,N,N
781,USA,South Carolina,N,N
782,USA,Florida,N,UNKNOWN
783,USA,Florida,N,N
784,SOUTH AFRICA,KwaZulu-Natal,N,Y
785,NEW CALEDONIA,UNKNOWN,N,Y
786,YEMEN,Aden,N,N
787,AUSTRALIA,Victoria,N,N
788,USA,New York,N,N
789,USA,Florida,N,N
790,AUSTRALIA,New South Wales,N,N
791,AUSTRALIA,New South Wales,N,Y
792,Fiji,Vanua Levu,N,Y
793,USA,Florida,N,N
794,SOUTH AFRICA,Eastern Cape Province,N,N
795,AUSTRALIA,New South Wales,N,Y
796,AUSTRALIA,Queensland,N,N
797,AUSTRALIA,Western Australia,N,UNKNOWN
798,USA,Connecticut,N,N
799,INDIA,West Bengal,N,N
800,CROATIA, Split-Dalmatia County,N,Y
801,NICARAGUA ,Pacific coast,N,N
802,USA,California,N,UNKNOWN
803,NEW ZEALAND,South Island,N,N
804,BAHAMAS,Bimini Islands,N,N
805,AUSTRALIA,New South Wales,N,N
806,USA,Florida,N,UNKNOWN
807,COLUMBIA,Roncador Bank,N,N
808,PHILIPPINES,Queaon,N,Y
809,USA,Florida,N,N
810,AUSTRALIA,Torres Strait,N,N
811,AUSTRALIA,New South Wales,N,N
812,AUSTRALIA,South Australia,N,N
813,AUSTRALIA,New South Wales,N,N
814,SOUTH AFRICA,Western Cape Province,N,N
815,MEXICO,Quintana Roo,N,Y
816,AUSTRALIA,New South Wales,N,N
817,USA,Florida,N,N
818,SOUTH AFRICA,Western Cape Province,N,N
819,NEW CALEDONIA,UNKNOWN,N,N
820,AUSTRALIA,South Australia,N,Y
821,USA,South Carolina,N,N
822,USA,Florida,N,N
823,ITALY,Tyrrhenian Sea,N,Y
824,NEW CALEDONIA,UNKNOWN,N,N
825,NEW CALEDONIA,UNKNOWN,N,N
826,USA,South Carolina,N,N
827,BRAZIL,"Boi Island, Victoria",N,N
828,USA,California,N,N
829,NEW CALEDONIA,UNKNOWN,N,N
830,USA,Florida,N,N
831,BRAZIL,Pernambuco,N,N
832,NEW ZEALAND,North Island,N,Y
833,AUSTRALIA,New South Wales,N,N
834,USA,Hawaii,N,N
835,AUSTRALIA,New South Wales,N,Y
836,NEW CALEDONIA,UNKNOWN,N,N
837,TONGA,Vava'u,N,N
838,NEW CALEDONIA,UNKNOWN,N,Y
839,USA,Florida,N,N
840,AUSTRALIA,New South Wales,N,N
841,PAPUA NEW GUINEA,Central Province,N,Y
842,MEXICO,Guerrero,N,N
843,USA,Florida,N,UNKNOWN
844,USA,South Carolina,N,Y
845,ENGLAND,In the English Channel ,N,N
846,USA,California,N,Y
847,USA,Florida,N,N
848,USA,Florida,N,N
849,USA,Florida,N,Y
850,USA,Florida,N,UNKNOWN
851,NEW CALEDONIA,UNKNOWN,N,Y
852,JAPAN,Izo Islands,N,Y
853,USA,South Carolina,N,N
854,AUSTRALIA,Queensland,N,Y
855,AUSTRALIA,New South Wales,N,N
856,AUSTRALIA,New South Wales,N,N
857,NEW CALEDONIA,UNKNOWN,N,N
858,USA,Massachusetts,N,N
859,NEW CALEDONIA,UNKNOWN,N,Y
860,AUSTRALIA,Tasmania,N,N
861,SOUTH AFRICA,Western Cape Province,N,N
862,SOUTH AFRICA,Western Cape Province,N,N
863,USA,Hawaii,N,N
864,USA,South Carolina,N,UNKNOWN
865,USA,Massachusetts,N,Y
866,AUSTRALIA,New South Wales,N,N
867,NEW CALEDONIA,UNKNOWN,N,Y
868,MEXICO,Mexico / Caribbean Sea,N,N
869,USA,Florida,N,N
870,DOMINICAN REPUBLIC,12 miles off the north coast,N,Y
871,USA,Florida,N,N
872,SOUTH AFRICA,Eastern Cape Province,N,Y
873,USA,Hawaii,N,UNKNOWN
874,USA,South Carolina,N,N
875,MARSHALL ISLANDS,Ralik Archipelago,N,N
876,USA,Florida,N,N
877,AUSTRALIA,Queensland,N,N
878,CUBA,Guantanamo Province,N,N
879,AUSTRALIA,Northern Territory,N,N
880,USA,Florida,N,N
881,SOUTH AFRICA,KwaZulu-Natal,N,Y
882,AUSTRALIA,New South Wales,N,Y
883,USA,California,N,N
884,USA,Texas,N,Y
885,PAPUA NEW GUINEA,Madang Province,N,N
886,USA,South Carolina,N,N
887,MAURITIUS,Cargados Carajos Shoals (St. Brandon),N,Y
888,USA,South Carolina,N,N
889,NEW ZEALAND,South Island,N,N
890,AUSTRALIA,Queensland,N,N
891,AUSTRALIA,Queensland,N,Y
892,SOUTH AFRICA,Western Cape Province,N,N
893,USA,California,N,UNKNOWN
894,NEW CALEDONIA,South Province,N,N
895,AUSTRALIA,Queensland,N,N
896,USA,California,N,N
897,SOUTH AFRICA,Western Cape Province,N,UNKNOWN
898,ITALY,Manfredonia ,N,N
899,TONGA,Vava’u,N,N
900,NEW CALEDONIA,UNKNOWN,N,Y
901,UNITED ARAB EMIRATES (UAE),Dubai,N,N
902,OKINAWA,Miyako,N,Y
903,FRENCH POLYNESIA,Tuamotus,N,N
904,EGYPT,South Sinai Peninsula,N,N
905,AUSTRALIA,New South Wales,N,Y
906,AUSTRALIA,Tasmania,N,N
907,USA,South Carolina,N,N
908,AUSTRALIA,New South Wales,N,N
909,AUSTRALIA,Queensland,N,N
910,Coast of AFRICA,Island of St. Thomas,N,Y
911,SOUTH AFRICA,Western Cape Province,N,N
912,IRAN,Khuzestan Province,N,Y
913,COLUMBIA,Isla Provedencia,N,N
914,NEW CALEDONIA,UNKNOWN,N,N
915,SOUTH AFRICA,Eastern Cape Province,N,N
916,REUNION,d’Étang-Salé,N,Y
917,USA,South Carolina,N,Y
918,NEW CALEDONIA,UNKNOWN,N,N
919,AUSTRALIA,South Australia,N,N
920,AUSTRALIA,Northern Territory,N,Y
921,MOZAMBIQUE,Gaza,N,N
922,NEW CALEDONIA,UNKNOWN,N,Y
923,CROATIA,Istria County,N,N
924,USA,North Carolina,N,N
925,JAVA,Northern Java,N,Y
926,NEW CALEDONIA,UNKNOWN,N,Y
927,ITALY,Liguaria,N,N
928,AUSTRALIA,South Australia,N,N
929,SOUTH AFRICA,Transvaal,N,N
930,SOUTH AFRICA,KwaZulu-Natal,N,N
931,NEW CALEDONIA,UNKNOWN,N,Y
932,AUSTRALIA,New South Wales,N,N
933,UNKNOWN,Off South American coast,N,Y
934,USA,California,N,N
935,AUSTRALIA,New South Wales,N,N
936,NEW ZEALAND,Cook islans,N,N
937,USA,Florida,N,Y
938,NEW CALEDONIA,UNKNOWN,N,UNKNOWN
939,NEW CALEDONIA,UNKNOWN,N,Y
940,NICARAGUA,Lower San Juan River,N,Y
941,AUSTRALIA,New South Wales,N,N
942,NEW CALEDONIA,UNKNOWN,N,UNKNOWN
943,NEW ZEALAND,North Island,N,N
944,AUSTRALIA,Queensland,N,N
945,USA,South Carolina,N,N
946,MEXICO,Veracruz,N,Y
947,MOZAMBIQUE,Limpopo River,N,N
948,AUSTRALIA,South Australia,N,Y
949,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",N,N
950,NEW CALEDONIA,UNKNOWN,N,N
951,IRAN,Khuzestan Province,N,N
952,ITALY,Adriatic Sea,N,Y
953,USA,California,N,N
954,FIJI,Kadavu Island Group,N,N
955,NEW ZEALAND,Chatham Islands,N,N
956,COMOROS,Anjouan,N,UNKNOWN
957,CUBA,Havana Province,N,N
958,USA,Florida,N,N
959,AUSTRALIA,Torres Strait,N,N
960,ITALY,Venice Province,N,N
961,CROATIA,Istria,N,N
962,USA,Hawaii,N,N
963,SAN DOMINGO,60 miles north of San Domingo in the West Indies,N,Y
964,AUSTRALIA,Queensland,N,UNKNOWN
965,REUNION,Saint-Philippe,N,Y
966,ICELAND,Bardestrand,N,UNKNOWN
967,USA,Hawaii,N,N
968,USA,Florida,N,N
969,UNITED ARAB EMIRATES,Fujairah Emirate,N,N
970,USA,Texas,N,N
971,REUNION,Conservatória District,N,N
972,USA,Florida,N,N
973,IRAQ,Basrah,N,N
974,AUSTRALIA,Queensland,N,N
975,USA,Florida,N,N
976,USA,Hawaii,N,N
977,REUNION,Saint-Leu,N,Y
978,VANUATU,Malampa Province,N,Y
979,AUSTRALIA,Western Australia,N,N
980,USA,Florida,N,N
981,AUSTRALIA,New South Wales,N,N
982,USA,Florida,N,N
983,CUBA,Havana Province,N,Y
984,NEW CALEDONIA,UNKNOWN,N,Y
985,VANUATU,Malampa Province,N,Y
986,NEW CALEDONIA,UNKNOWN,N,N
987,USA,Florida,N,N
988,AUSTRALIA,Western Australia,N,Y
989,USA,California,N,N
990,CAPE VERDE,Santiago Island,N,UNKNOWN
991,FIJI,Taveuni,N,Y
992,AUSTRALIA,South Australia,N,Y
993,BRAZIL,Pernambuco,N,N
994,NEW ZEALAND,North Island,N,N
995,NEW CALEDONIA,UNKNOWN,N,N
996,TURKEY,Antalya Province,N,N
997,SOUTH AFRICA,Eastern Cape Province,N,N
998,USA,Hawaii,N,N
999,EGYPT,Gulf of Suez,N,Y
1000,AUSTRALIA,New South Wales,N,N
1001,AUSTRALIA,Western Australia,N,N
1002,AUSTRALIA,Queensland ,N,Y
1003,AUSTRALIA,Queensland,N,Y
1004,USA,Florida,N,N
1005,SOUTH ATLANTIC OCEAN,Off the coast of West Africa,N,Y
1006,NEW CALEDONIA,UNKNOWN,N,Y
1007,SOUTH AFRICA,Western Cape Province,N,N
1008,ECUADOR,Galapagos Islands,N,N
1009,SOUTH AFRICA,Western Cape Province,N,Y
1010,USA,North Carolina,N,Y
1011,AUSTRALIA,New South Wales,N,N
1012,NEW ZEALAND,"Off the Coromandel Peninsula, North Island",N,N
1013,AUSTRALIA,South Australia,N,N
1014,BRAZIL,Pernambuco,N,Y
1015,ITALY,Teramo,N,Y
1016,AUSTRALIA,New South Wales,N,N
1017,ITALY,Adriatic Sea,N,N
1018,USA,New York ,N,UNKNOWN
1019,SOUTH AFRICA,Eastern Cape Province,N,N
1020,REUNION,Saint-Joseph,N,Y
1021,AUSTRALIA,Queensland,N,N
1022,AUSTRALIA,Victoria,N,Y
1023,MOZAMBIQUE,Inhambane Province,N,N
1024,USA,Florida,N,N
1025,AUSTRALIA,Torres Strait,N,N
1026,AUSTRALIA,Torres Strait ,N,N
1027,SOUTH AFRICA,KwaZulu-Natal,N,N
1028,USA,South Carolina,N,N
1029,USA,Florida,N,N
1030,NEW CALEDONIA,UNKNOWN,N,Y
1031,USA,North Carolina,N,N
1032,USA,Florida,N,N
1033,AUSTRALIA,Queensland,N,N
1034,USA,Florida,N,UNKNOWN
1035,PAPUA NEW GUINEA,"Abau Sub District, Central Province",N,N
1036,USA,South Carolina,N,N
1037,USA,Florida,N,N
1038,AUSTRALIA,Tasmania,N,UNKNOWN
1039,AUSTRALIA,South Australia,N,Y
1040,USA,Florida,N,N
1041,AUSTRALIA,New South Wales,N,N
1042,USA,California,N,N
1043,UNITED KINGDOM,Devon,N,N
1044,USA,Maryland,N,N
1045,USA,Florida,N,N
1046,MEXICO,Tamaulipas,N,Y
1047,AUSTRALIA,Queensland,N,N
1048,USA,Florida,N,N
1049,USA,Florida,N,N
1050,USA,Louisiana,N,N
1051,BAHAMAS,Exuma Islands,N,N
1052,GABON,Estuaire Province,N,Y
1053,USA,Florida,N,N
1054,ITALY,Adriatic Sea,N,Y
1055,SOUTH AFRICA,Western Cape Province,N,Y
1056,SOUTH AFRICA,Western Cape Province,N,N
1057,AUSTRALIA,Western Australia,N,N
1058,SOUTH AFRICA,Western Cape Province,N,Y
1059,USA,Florida,N,N
1060,AUSTRALIA,Queensland,N,N
1061,MEXICO,Baja California Sur,N,Y
1062,AUSTRALIA,New South Wales,N,N
1063,SOUTH AFRICA,KwaZulu-Natal,N,N
1064,IRAN,Karun River,N,N
1065,USA,Florida,N,N
1066,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",N,N
1067,REUNION,Le Port,N,N
1068,SPAIN,Catalonia,N,N
1069,USA,Hawaii,N,N
1070,USA,Puerto Rico,N,Y
1071,SOUTH AFRICA,Western Cape Province,N,Y
1072,JAMAICA,Westmoreland Parish,N,Y
1073,AUSTRALIA,South Australia,N,N
1074,AUSTRALIA,New South Wales,N,UNKNOWN
1075,USA,Florida,N,N
1076,SOUTH AFRICA,KwaZulu-Natal,N,N
1077,DOMINICAN REPUBLIC,Santo Domingo,N,Y
1078,USA,New York,N,N
1079,AUSTRALIA,Western Australia,N,Y
1080,NEW CALEDONIA,South Province,N,Y
1081,SOUTH AFRICA,KwaZulu-Natal,N,UNKNOWN
1082,AUSTRALIA,New South Wales,N,N
1083,MEXICO,Guerro,N,Y
1084,USA,California,N,N
1085,USA,Florida,N,N
1086,AUSTRALIA,Queensland,N,N
1087,USA,Florida,N,UNKNOWN
1088,USA,Florida,N,N
1089,NEW CALEDONIA,UNKNOWN,N,Y
1090,USA,Hawaii,N,Y
1091,USA,California,N,N
1092,USA,Florida,N,N
1093,AUSTRALIA,New South Wales,N,Y
1094,USA,California,N,N
1095,MOZAMBIQUE,Limpopo River,N,N
1096,REUNION,Saint-Paul,N,Y
1097,SOUTH AFRICA,KwaZulu-Natal,N,N
1098,BRAZIL,Pernambuco,N,N
1099,AUSTRALIA,Victoria,N,N
1100,CANADA,Bay of Fundy,N,N
1101,IRAN,Karun River,N,N
1102,NEW CALEDONIA,UNKNOWN,N,N
1103,USA,Florida,N,N
1104,RUSSIA,Kuril Islands in the Pacific,N,N
1105,AUSTRALIA,Tasmania,N,N
1106,USA,Florida,N,N
1107,USA,California,N,N
1108,USA,Florida,N,N
1109,USA,Hawaii,N,N
1110,AUSTRALIA,Queensland,N,N
1111,ITALY,Liguria,N,N
1112,USA,Hawaii,N,UNKNOWN
1113,USA,Florida,N,N
1114,ANGOLA,West Africa,N,N
1115,SPAIN,Valencia,N,N
1116,USA,Florida,N,N
1117,CUBA,Matanzas Province (north coast),N,Y
1118,BAHAMAS,40 miles off Grand Bahama Island,N,N
1119,FIJI,Yasawa Islands,N,Y
1120,AUSTRALIA,New South Wales,N,N
1121,NEW ZEALAND,South Island,N,N
1122,ITALY,Adriatic Sea,N,N
1123,NEW ZEALAND,South Island,N,Y
1124,AUSTRALIA,Western Australia,N,N
1125,AUSTRALIA,Western Australia,N,Y
1126,USA,Florida,N,N
1127,USA,Mississippi,N,N
1128,USA,Hawaii,N,Y
1129,USA,Florida,N,N
1130,USA,Florida,N,N
1131,USA,California,N,N
1132,AUSTRALIA,Queensland,N,Y
1133,USA,South Carolina,N,N
1134,AUSTRALIA,New South Wales,N,Y
1135,USA,South Carolina,N,UNKNOWN
1136,AUSTRALIA,Western Australia,N,N
1137,AUSTRALIA,Queensland,N,Y
1138,USA,Florida,N,N
1139,BRAZIL,Pernambuco,N,Y
1140,NEW ZEALAND,South Island,N,N
1141,AUSTRALIA,Queensland,N,N
1142,LIBYA,Mediterranean Sea,N,N
1143,SPAIN,Valencia ,N,N
1144,USA,Florida,N,N
1145,ICELAND,Fishing Grounds,N,N
1146,AUSTRALIA,Victoria,N,N
1147,AUSTRALIA,Tasmania,N,N
1148,AUSTRALIA,Queensland,N,N
1149,NEW CALEDONIA,UNKNOWN,N,Y
1150,NICARAGUA,Lake Nicaragua (fresh water),N,Y
1151,MAURITIUS,Port Louis Province,N,N
1152,SOUTH AFRICA,KwaZulu-Natal,N,N
1153,AUSTRALIA,New South Wales,N,N
1154,USA,California,N,N
1155,NEW CALEDONIA,UNKNOWN,N,N
1156,NEW ZEALAND,North Island,N,UNKNOWN
1157,USA,California,N,N
1158,AUSTRALIA,New South Wales,N,UNKNOWN
1159,USA,Oregon,N,N
1160,NEW CALEDONIA,UNKNOWN,N,N
1161,USA,Florida,N,N
1162,NEW CALEDONIA,Loyalty Islands,N,UNKNOWN
1163,THAILAND,Phang nga Province,N,Y
1164,USA,South Carolina,N,UNKNOWN
1165,USA,Florida,N,N
1166,SEYCHELLES,Praslin,N,Y
1167,SOUTH AFRICA,KwaZulu-Natal,N,N
1168,AUSTRALIA,New South Wales,N,Y
1169,AUSTRALIA,South Australia,N,N
1170,BAHAMAS,Cat Cay,N,N
1171,USA,South Carolina,N,N
1172,AUSTRALIA,Western Australia,N,N
1173,USA,North Carolina,N,N
1174,SOUTH AFRICA,Western Cape Province,N,N
1175,NICARAGUA,Lake Nicaragua (fresh water),N,Y
1176,AUSTRALIA,New South Wales,N,N
1177,GUYANA,Essequibo,N,Y
1178,FRENCH POLYNESIA,Central Tuamotu,N,N
1179,USA,Florida,N,Y
1180,AUSTRALIA,Queensland,N,N
1181,NEW CALEDONIA,UNKNOWN,N,N
1182,INDONESIA,Moluccas,N,Y
1183,EGYPT,Red Sea,N,Y
1184,AUSTRALIA,Northern Territory,N,N
1185,AUSTRALIA,New South Wales,N,N
1186,SPAIN,Cádiz,N,Y
1187,USA,Florida,N,N
1188,EL SALVADOR,La Libertad,N,Y
1189,AUSTRALIA,Northern Territory,N,UNKNOWN
1190,NEW CALEDONIA,UNKNOWN,N,Y
1191,USA,Florida,N,N
1192,USA,Florida,N,UNKNOWN
1193,AUSTRALIA,Queensland,N,N
1194,USA,Hawaii,N,N
1195,AUSTRALIA,Victoria,N,N
1196,AUSTRALIA,New South Wales,N,N
1197,SOUTH AFRICA,Western Cape Province,N,N
1198,GRENADA,St. Andrew Parish,N,Y
1199,USA,South Carolina,N,N
1200,NEW CALEDONIA,UNKNOWN,N,UNKNOWN
1201,USA,Florida,N,UNKNOWN
1202,SOUTH AFRICA,Eastern Cape Province,N,N
1203,USA,Florida,N,N
1204,AUSTRALIA,Queensland,N,UNKNOWN
1205,USA,Florida,N,UNKNOWN
1206,AUSTRALIA,New South Wales,N,N
1207,USA,California,N,Y
1208,BRAZIL,Pernambuco,N,N
1209,SOUTH AFRICA,Western Cape Province,N,N
1210,AUSTRALIA,South Australia,N,N
1211,USA,Florida,N,N
1212,SOUTH AFRICA,KwaZulu-Natal,N,N
1213,USA,Florida,N,N
1214,SOUTH AFRICA,Western Cape Province,N,N
1215,USA,Florida,N,N
1216,USA,Virginia,N,UNKNOWN
1217,USA,Oregon,N,N
1218,USA,Florida,N,N
1219,USA,Florida,N,N
1220,USA,Florida,N,N
1221,SPAIN,Granada,N,N
1222,NEW ZEALAND,North Island,N,N
1223,MEXICO,Guerrero,N,Y
1224,USA,Florida,N,N
1225,AUSTRALIA,New South Wales,N,N
1226,GUINEA,Conakry Region,N,Y
1227,SOUTH AFRICA,KwaZulu-Natal,N,UNKNOWN
1228,USA,Texas,N,N
1229,AUSTRALIA,Queensland,N,N
1230,USA,Massachusetts,N,N
1231,USA,Florida,N,N
1232,MEXICO,Veracruz,N,N
1233,USA,Florida,N,N
1234,GUAM,North Region,N,N
1235,SOUTH AFRICA,Western Cape Province,N,UNKNOWN
1236,SOUTH AFRICA,Western Cape Province,N,N
1237,COSTA RICA,Cocos Island,N,N
1238,AUSTRALIA,Victoria,N,N
1239,USA,Hawaii,N,N
1240,SOUTH AFRICA,Eastern Cape Province,N,Y
1241,USA,South Carolina,N,N
1242,GULF OF ADEN,Between Somalia & Yemen,N,Y
1243,SOUTH AFRICA,Western Cape Province,N,Y
1244,AUSTRALIA,Western Australia,N,N
1245,USA,California,N,Y
1246,AUSTRALIA,Queensland,N,N
1247,AUSTRALIA,Western Australia,N,UNKNOWN
1248,USA,Florida,N,N
1249,UNITED KINGDOM,Devon,N,N
1250,USA,South Carolina,N,Y
1251,AUSTRALIA,Tasmania,N,N
1252,AUSTRALIA,Victoria,N,Y
1253,USA,Florida,N,UNKNOWN
1254,USA,Florida,N,UNKNOWN
1255,FIJI,Muala,N,N
1256,GRENADA,St. Georges ,N,N
1257,AUSTRALIA,New South Wales,N,N
1258,USA,Hawaii,N,N
1259,SOLOMON ISLANDS,Makira-Ulawa Province,N,Y
1260,SOUTH AFRICA,Eastern Cape Province,N,Y
