Area,Activity,Sex ,Age,Injury,Fatal(Y/N),Time,Species 
27,148,0,57,1,N,1,656
114,263,1,18,0,Y,1,574
48,329,1,15,1,N,1,386
119,57,1,32,1,N,2,415
36,61,1,21,1,N,2,430
34,176,1,30,1,N,2,574
179,245,1,60,1,N,2,176
11,61,1,32,1,N,1,574
180,146,1,33,1,N,2,694
42,245,1,19,1,N,0,656
64,228,1,25,1,N,2,590
179,320,1,10,1,N,1,785
170,263,1,69,1,N,0,199
170,245,1,18,1,N,2,83
98,263,0,55,1,N,1,433
98,329,1,35,1,N,0,367
46,245,1,20,1,N,1,817
64,245,0,54,1,N,1,574
27,206,1,25,1,N,0,748
98,245,1,25,1,N,0,121
65,143,1,22,0,Y,1,574
98,245,1,31,1,N,2,786
143,126,0,15,1,N,0,744
64,245,1,54,1,N,1,638
64,202,0,40,1,N,0,286
48,245,1,18,1,N,1,257
98,245,1,35,1,N,2,716
170,245,1,37,1,N,2,705
90,169,1,69,1,N,2,763
144,263,1,13,1,N,0,498
90,61,1,34,1,N,1,224
27,124,1,40,1,N,2,673
27,169,1,50,1,N,2,774
48,263,1,46,1,N,0,380
42,245,0,13,1,N,0,694
179,14,1,48,1,N,2,730
97,202,0,32,1,N,2,574
179,245,0,17,0,Y,0,656
64,245,1,28,1,N,2,590
48,263,0,17,1,N,0,385
119,174,1,55,1,N,0,378
16,245,1,48,1,N,2,361
180,243,1,55,1,N,2,730
98,239,1,20,1,N,2,790
98,245,1,65,1,N,2,656
170,61,1,73,1,N,2,338
64,76,0,58,1,N,2,574
64,245,1,36,1,N,1,3
98,245,1,17,1,N,0,717
48,320,1,60,1,N,0,191
64,263,0,51,1,N,0,585
48,245,1,25,1,N,0,386
64,170,1,21,1,N,0,586
10,263,1,40,1,N,2,331
119,61,1,31,1,N,0,813
27,131,1,61,1,N,1,670
90,61,1,59,1,N,2,807
119,61,1,34,1,N,1,555
67,174,1,59,1,N,2,396
144,76,1,42,1,N,0,192
159,77,0,6,1,N,1,191
101,229,1,19,1,N,0,188
179,41,0,60,0,Y,2,193
153,263,1,23,1,N,2,443
179,245,1,29,0,Y,0,656
48,263,1,13,1,N,0,255
48,263,0,22,1,N,1,380
48,263,1,48,1,N,2,326
48,309,0,23,1,N,0,466
102,61,1,39,1,N,0,447
16,245,1,24,1,N,2,386
98,263,1,12,1,N,0,785
162,206,1,22,1,N,2,419
162,206,1,26,1,N,2,419
55,329,0,69,0,Y,2,602
64,145,1,48,1,N,2,593
119,320,1,11,1,N,0,319
119,206,1,31,1,N,2,176
64,145,1,71,1,N,2,290
98,245,1,43,1,N,2,354
49,202,1,55,1,N,2,404
98,245,1,20,1,N,1,373
48,320,0,28,1,N,0,192
180,245,1,42,1,N,0,716
48,245,1,21,1,N,0,255
48,245,1,21,1,N,0,553
64,263,1,44,1,N,2,637
64,245,1,25,1,N,2,592
159,320,1,13,1,N,2,226
48,245,1,14,1,N,2,327
48,245,1,22,1,N,0,329
48,245,1,14,1,N,0,808
64,206,1,27,1,N,0,591
48,320,1,12,1,N,0,224
98,245,1,42,1,N,2,270
27,228,0,50,1,N,1,672
27,123,1,29,1,N,0,424
98,244,1,62,1,N,2,694
115,320,0,37,1,N,2,817
27,245,0,54,1,N,2,672
27,245,1,21,1,N,2,671
144,245,1,15,1,N,0,224
48,329,0,10,1,N,0,188
27,123,1,22,1,N,2,680
27,206,1,57,1,N,2,425
98,245,1,52,1,N,2,656
48,245,1,25,1,N,1,316
155,173,1,46,0,Y,2,725
27,245,1,38,1,N,2,773
98,245,1,52,1,N,2,656
98,15,1,32,1,N,2,656
101,263,1,68,1,N,0,273
144,158,1,12,1,N,1,226
101,263,1,18,1,N,0,359
180,13,1,19,1,N,0,656
180,245,1,23,1,N,0,704
144,229,1,43,1,N,2,224
101,263,1,6,1,N,0,536
179,245,0,37,1,N,2,656
101,320,1,16,1,N,1,359
101,320,0,12,1,N,0,359
101,24,0,13,1,N,0,224
48,155,1,11,1,N,2,383
78,245,1,47,1,N,0,370
123,206,1,19,1,N,2,115
48,245,1,18,1,N,2,255
42,41,1,29,1,N,0,717
48,320,1,63,1,N,0,194
143,245,1,26,1,N,2,771
98,243,1,71,1,N,2,705
131,245,1,13,0,Y,2,359
48,206,1,70,1,N,0,359
64,230,1,58,1,N,2,639
23,104,1,9,1,N,2,319
185,263,0,22,0,Y,1,614
98,245,1,41,0,Y,2,202
98,245,1,35,1,N,2,123
119,168,1,57,1,N,2,362
64,191,1,20,1,N,2,224
6,202,0,34,1,N,0,662
42,245,1,15,1,N,2,511
179,206,1,17,0,Y,2,736
27,245,1,50,1,N,2,774
170,61,1,40,1,N,2,58
119,206,1,17,0,Y,2,574
48,245,1,44,1,N,0,132
64,202,1,53,1,N,0,58
64,245,0,34,1,N,2,590
98,245,0,13,1,N,2,29
48,245,1,29,1,N,2,319
48,245,1,15,1,N,2,319
27,245,1,28,1,N,1,287
179,245,1,23,1,N,2,131
98,263,1,50,0,Y,2,281
9,62,1,43,1,N,0,359
90,125,0,20,1,N,1,676
48,61,1,52,1,N,1,191
48,17,0,13,1,N,0,551
81,263,1,7,1,N,0,5
144,24,1,10,1,N,0,229
180,245,1,20,1,N,0,656
132,245,1,51,1,N,0,93
64,263,1,61,1,N,1,275
48,263,1,39,1,N,0,224
144,17,1,19,1,N,1,226
6,206,1,42,1,N,0,397
38,229,1,16,1,N,1,6
143,14,1,39,1,N,2,342
48,263,0,22,1,N,0,359
143,245,1,35,1,N,2,10
144,263,0,40,1,N,0,226
48,245,1,23,1,N,0,188
98,263,0,63,0,Y,2,181
42,263,1,66,0,Y,0,121
142,133,1,21,1,N,0,317
146,245,1,28,1,N,1,284
103,202,1,37,1,N,2,527
180,245,1,19,1,N,2,727
64,24,1,29,1,N,2,588
48,245,1,30,1,N,0,227
98,245,1,26,1,N,1,9
98,14,1,19,0,Y,0,622
179,245,1,35,0,Y,2,572
111,245,1,25,1,N,2,668
64,132,1,46,1,N,0,574
179,202,0,60,1,N,0,318
185,14,1,24,1,N,0,567
98,245,1,41,1,N,1,785
64,42,1,45,1,N,0,784
64,245,1,25,1,N,2,574
48,320,1,6,1,N,1,471
42,271,1,74,0,Y,2,656
179,43,1,55,1,N,2,656
27,245,1,45,1,N,2,774
48,320,1,12,1,N,0,546
48,263,1,21,1,N,0,359
48,245,0,13,1,N,0,188
48,245,1,43,1,N,0,188
48,229,1,25,1,N,0,188
48,28,1,9,1,N,0,224
19,136,1,50,1,N,1,455
64,202,0,20,0,Y,0,648
144,245,1,10,1,N,1,390
48,61,1,17,1,N,0,388
6,206,1,40,1,N,0,270
64,245,1,18,1,N,0,641
45,32,1,64,1,N,0,459
144,263,1,14,1,N,0,226
64,263,1,28,1,N,0,593
144,23,0,10,1,N,0,226
136,245,1,29,1,N,0,404
130,14,1,36,0,Y,2,359
48,245,1,16,1,N,2,804
121,263,0,34,1,N,0,574
98,61,1,51,1,N,0,411
48,157,1,9,1,N,2,188
48,245,1,21,1,N,0,359
163,130,1,53,1,N,0,491
64,245,1,58,1,N,2,224
180,63,1,30,1,N,2,512
151,206,1,68,0,Y,2,632
179,206,1,28,1,N,2,351
102,263,1,46,0,Y,0,752
48,245,1,16,1,N,0,327
142,176,1,48,1,N,2,434
64,245,1,43,1,N,0,595
98,245,1,23,1,N,0,154
98,145,1,29,1,N,2,375
179,245,1,32,1,N,2,635
64,245,1,60,1,N,0,98
98,206,1,31,1,N,0,536
64,202,1,61,1,N,2,585
141,263,1,32,0,Y,2,154
48,245,1,14,1,N,1,134
64,41,1,30,1,N,2,595
64,245,1,43,1,N,2,640
27,245,1,25,1,N,0,656
64,263,0,51,1,N,0,589
27,245,1,39,0,Y,2,683
64,145,1,55,1,N,2,275
179,22,1,11,1,N,0,169
48,245,1,21,1,N,0,255
48,245,1,22,1,N,0,224
48,24,0,8,1,N,1,204
48,291,0,56,1,N,0,204
48,84,1,56,1,N,0,439
126,245,1,39,1,N,1,359
143,245,1,48,1,N,0,661
90,17,1,50,1,N,0,572
179,245,1,24,0,Y,2,768
27,124,1,52,1,N,2,108
180,245,1,29,1,N,0,111
48,263,1,6,1,N,1,811
64,195,0,16,1,N,2,803
179,243,1,62,1,N,2,176
48,61,1,23,1,N,0,459
144,263,0,18,1,N,0,816
144,263,1,16,1,N,0,320
170,245,1,42,1,N,2,58
137,6,1,57,1,N,2,334
98,243,1,30,1,N,0,686
101,320,0,33,1,N,0,113
60,89,1,46,1,N,2,376
48,245,1,22,1,N,0,226
27,126,1,30,1,N,0,656
27,145,0,15,1,N,2,656
48,245,1,28,1,N,1,255
180,14,1,20,0,Y,0,734
64,245,1,28,1,N,0,587
179,176,1,33,0,Y,2,753
119,245,1,20,1,N,1,495
48,245,1,61,1,N,0,488
48,245,0,15,1,N,0,226
48,245,1,17,1,N,0,226
170,51,0,34,1,N,2,556
48,129,1,19,1,N,0,224
179,202,1,26,1,N,0,621
98,245,1,44,1,N,0,701
42,263,1,25,0,Y,0,567
98,245,1,28,1,N,1,121
119,206,1,34,1,N,2,311
98,245,1,51,1,N,2,699
119,263,1,10,1,N,0,792
179,41,1,32,0,Y,0,669
170,41,1,50,1,N,0,480
180,263,1,43,1,N,0,656
48,206,1,21,1,N,0,386
48,245,1,25,1,N,2,227
31,129,1,30,1,N,0,606
179,14,1,21,0,Y,0,656
48,245,1,19,1,N,2,271
48,245,1,19,1,N,2,270
180,245,1,49,0,Y,2,775
101,320,0,20,1,N,1,489
157,263,1,25,1,N,1,218
142,245,1,32,1,N,0,416
117,290,1,30,0,Y,0,386
42,245,1,29,1,N,2,728
73,176,1,22,1,N,0,377
101,157,0,10,1,N,0,386
48,176,1,28,1,N,0,326
48,320,1,19,1,N,0,191
73,206,1,28,0,Y,0,793
103,128,1,15,0,Y,2,8
179,335,1,17,1,N,0,812
48,246,1,49,1,N,0,31
146,245,1,41,1,N,0,810
98,245,1,48,1,N,1,371
98,328,0,24,1,N,0,180
119,61,1,36,1,N,2,374
2,206,1,21,1,N,0,58
143,44,1,49,0,Y,1,664
121,263,0,38,1,N,0,270
178,176,1,55,1,N,0,394
64,14,1,16,1,N,0,270
149,202,0,70,0,Y,0,474
149,202,1,54,1,N,2,444
149,202,1,46,1,N,2,443
149,202,0,70,1,N,0,475
149,202,0,48,1,N,0,475
179,202,0,20,1,N,0,656
86,176,1,30,1,N,0,479
27,14,1,19,0,Y,2,681
98,245,1,22,1,N,0,363
111,245,1,29,1,N,0,656
98,245,1,15,1,N,1,169
179,245,1,31,0,Y,2,656
48,229,0,37,1,N,2,191
144,263,1,10,1,N,2,501
101,263,0,13,1,N,0,538
54,263,1,9,1,N,1,312
100,61,1,20,1,N,0,336
27,245,1,19,1,N,1,224
27,228,1,48,1,N,0,286
22,263,1,17,1,N,1,29
48,23,0,18,1,N,0,224
48,61,1,49,1,N,2,438
22,163,0,58,1,N,1,167
22,263,0,60,1,N,1,167
48,320,0,10,1,N,2,224
48,141,1,29,1,N,0,440
64,245,1,68,1,N,0,106
42,245,1,35,1,N,2,121
140,272,1,24,1,N,0,476
127,245,1,34,1,N,2,58
119,202,0,60,1,N,0,121
98,245,1,46,1,N,2,788
98,14,1,18,1,N,0,699
146,23,0,14,1,N,1,58
182,229,1,37,0,Y,0,656
88,263,1,27,1,N,0,798
119,206,1,18,1,N,2,376
95,41,1,58,1,N,0,539
48,320,1,10,1,N,2,270
27,61,1,31,1,N,0,573
48,245,1,18,1,N,0,224
143,124,1,25,1,N,2,121
170,124,1,27,1,N,2,752
64,245,1,54,1,N,2,275
47,41,1,23,1,N,0,312
39,61,1,39,1,N,0,554
101,263,1,60,0,Y,1,541
180,245,1,25,0,Y,0,656
27,263,0,22,1,N,0,762
81,318,1,56,1,N,2,391
48,263,0,43,1,N,0,470
98,245,1,52,1,N,2,564
152,202,0,50,0,Y,2,473
110,61,1,46,1,N,1,289
48,245,1,31,1,N,2,805
48,245,1,49,1,N,2,805
48,245,1,55,1,N,2,805
104,206,1,27,1,N,0,326
48,245,1,31,1,N,0,134
98,243,1,40,1,N,2,134
98,245,1,17,1,N,1,357
48,245,0,17,1,N,1,191
64,263,1,61,1,N,1,568
180,61,1,40,1,N,0,333
98,245,1,15,1,N,2,159
98,245,1,33,1,N,1,700
98,50,1,31,1,N,2,372
98,245,1,41,1,N,2,675
59,206,1,15,1,N,2,359
42,263,1,25,0,Y,0,574
98,202,1,24,1,N,2,403
155,245,0,13,1,N,0,768
98,245,1,31,1,N,2,721
102,263,1,49,1,N,1,337
98,124,1,29,1,N,2,754
179,202,1,51,0,Y,2,223
180,61,1,15,1,N,1,523
98,176,1,34,1,N,1,411
3,206,1,43,1,N,0,253
48,245,1,40,1,N,2,19
108,263,1,43,1,N,0,340
48,263,1,32,1,N,0,133
64,245,1,40,1,N,0,574
98,245,1,51,1,N,0,176
48,245,1,52,1,N,2,224
48,245,1,26,1,N,2,270
166,314,0,38,1,N,1,285
170,245,1,31,1,N,2,288
101,320,0,8,1,N,0,191
48,320,1,16,1,N,0,224
6,206,1,42,1,N,2,387
180,243,1,46,1,N,0,703
144,263,1,37,1,N,2,241
27,124,0,40,1,N,2,682
144,17,0,15,1,N,1,255
114,263,1,14,1,N,0,359
61,245,1,49,1,N,2,176
179,263,1,37,1,N,2,752
103,61,1,40,1,N,0,128
61,245,1,24,0,Y,0,574
48,245,1,18,1,N,2,224
103,263,1,32,1,N,2,365
27,263,1,66,0,Y,2,677
48,245,1,30,1,N,0,69
98,14,1,16,0,Y,2,359
48,245,1,52,1,N,1,226
48,332,1,13,1,N,2,157
48,118,1,8,1,N,0,540
27,245,1,27,1,N,2,656
105,41,1,49,0,Y,2,306
119,3,1,20,1,N,2,456
98,245,1,31,1,N,2,121
64,245,1,52,1,N,2,574
180,245,1,14,1,N,1,67
48,245,1,21,1,N,2,226
48,245,1,42,1,N,2,255
42,245,1,37,1,N,2,728
64,76,1,32,1,N,0,574
98,244,0,52,1,N,2,700
119,206,1,31,1,N,0,340
27,245,1,22,1,N,1,191
48,245,1,16,1,N,2,328
82,263,0,23,0,Y,2,574
52,206,0,48,1,N,0,394
124,263,0,19,1,N,2,477
48,245,1,23,1,N,1,188
48,245,0,15,1,N,2,292
48,202,1,14,1,N,0,467
48,121,0,12,1,N,2,113
48,263,1,58,1,N,2,503
64,14,1,15,1,N,0,589
27,245,1,24,1,N,2,674
48,245,1,54,1,N,0,188
48,245,1,27,1,N,2,188
48,245,1,16,1,N,0,226
48,78,1,20,1,N,1,490
48,263,0,15,1,N,1,0
48,119,0,19,1,N,0,487
64,202,1,36,1,N,0,0
158,320,1,15,1,N,2,341
101,263,1,14,1,N,0,134
101,320,0,30,1,N,0,255
6,206,0,48,1,N,2,384
48,245,1,20,1,N,1,224
172,165,0,40,1,N,2,304
72,61,1,38,1,N,0,441
179,320,0,38,1,N,0,154
170,245,1,19,1,N,1,98
48,245,0,21,1,N,0,226
64,202,0,63,1,N,2,594
48,263,1,68,1,N,2,275
119,270,0,13,1,N,1,12
48,14,1,12,1,N,0,805
48,245,1,24,1,N,1,191
148,245,1,26,1,N,0,574
48,245,1,27,1,N,0,188
48,245,1,11,1,N,1,226
98,245,0,42,1,N,2,58
119,263,0,59,1,N,0,129
103,210,1,30,1,N,0,574
98,41,1,41,1,N,2,726
42,267,1,24,0,Y,0,574
64,245,1,24,1,N,2,276
170,245,1,25,1,N,1,156
102,245,1,10,1,N,2,130
27,245,1,43,1,N,2,678
73,61,1,25,1,N,1,516
179,14,1,15,1,N,2,769
64,263,1,29,1,N,0,126
111,245,1,22,1,N,1,684
48,159,1,18,1,N,0,190
48,263,1,55,1,N,0,551
48,229,1,33,1,N,1,188
180,134,1,24,1,N,2,656
111,245,1,41,1,N,0,782
180,244,1,19,1,N,0,728
48,245,1,14,1,N,0,0
144,229,1,49,1,N,2,313
144,14,0,14,1,N,2,258
48,245,0,22,1,N,0,484
48,245,1,24,1,N,0,134
144,155,0,7,1,N,0,191
143,245,1,40,1,N,2,109
64,206,1,26,1,N,0,642
64,206,1,15,1,N,0,420
58,176,0,30,1,N,0,588
119,202,1,46,1,N,0,789
48,61,1,35,1,N,0,381
98,245,1,15,1,N,0,355
42,14,1,15,1,N,1,521
114,263,1,35,1,N,0,574
64,245,0,28,1,N,2,587
174,245,1,21,1,N,1,634
98,245,1,15,1,N,1,343
64,229,0,15,1,N,0,259
42,245,1,15,1,N,1,507
167,263,0,24,0,Y,1,574
64,124,1,57,1,N,0,104
179,176,1,52,1,N,2,200
119,263,0,21,0,Y,1,359
48,245,1,21,1,N,0,224
111,245,1,30,1,N,0,656
64,263,1,29,1,N,2,574
119,206,1,44,1,N,2,783
48,245,1,23,1,N,0,224
170,245,1,18,1,N,1,83
48,245,1,30,1,N,0,224
42,66,1,32,1,N,0,522
48,245,1,18,1,N,0,270
27,245,1,26,1,N,2,103
139,229,1,55,1,N,2,132
180,231,1,20,1,N,2,176
27,245,1,36,1,N,2,656
27,245,0,20,1,N,2,114
64,245,1,22,1,N,1,646
41,176,0,57,1,N,0,398
180,244,1,52,1,N,0,656
143,245,1,26,1,N,0,107
179,245,1,44,1,N,2,340
144,17,0,68,1,N,0,191
101,320,0,18,1,N,0,359
143,245,1,40,1,N,0,217
143,176,1,23,0,Y,0,656
27,245,1,37,1,N,2,809
144,263,1,8,1,N,2,500
101,245,1,16,1,N,2,78
101,263,1,22,1,N,0,802
159,107,0,14,1,N,0,801
48,61,1,16,1,N,2,359
48,294,0,14,0,Y,2,76
87,263,0,7,0,Y,0,478
48,263,1,20,1,N,0,655
180,208,1,22,0,Y,0,656
48,263,1,33,1,N,1,18
42,245,1,32,1,N,2,507
64,245,1,47,1,N,2,609
98,61,1,25,1,N,1,447
98,245,1,40,1,N,2,340
180,245,1,32,1,N,2,215
179,202,1,26,0,Y,0,269
96,47,1,45,1,N,0,537
102,69,1,39,1,N,0,656
143,189,1,18,0,Y,0,235
119,206,1,38,0,Y,0,359
42,245,1,20,1,N,1,507
180,263,0,77,0,Y,2,269
27,245,2,38,1,N,0,261
28,41,1,40,1,N,0,151
180,30,1,52,1,N,2,120
98,245,1,59,1,N,0,348
64,206,1,34,1,N,0,601
42,245,1,34,1,N,2,515
35,14,1,15,1,N,0,559
111,245,1,26,1,N,2,656
145,121,0,17,1,N,0,143
114,7,1,24,1,N,0,578
27,41,1,50,0,Y,0,244
48,263,1,47,1,N,1,40
101,263,0,13,1,N,1,78
159,263,0,19,1,N,0,47
159,323,1,11,1,N,1,359
179,245,1,30,0,Y,0,127
9,320,1,7,1,N,0,226
27,245,1,45,1,N,2,291
179,14,1,17,1,N,1,349
48,263,1,8,1,N,1,40
180,304,1,21,0,Y,0,656
159,320,1,16,1,N,1,26
114,263,1,17,1,N,0,359
27,245,1,44,1,N,2,150
6,86,1,63,1,N,0,33
159,308,1,28,1,N,0,448
64,245,1,57,0,Y,2,574
180,245,1,16,1,N,0,248
48,245,1,20,1,N,2,37
114,14,1,22,1,N,2,806
128,245,1,20,1,N,1,154
64,245,1,51,1,N,2,600
147,245,1,15,1,N,1,118
179,176,1,46,1,N,2,221
13,206,1,40,1,N,2,366
73,206,1,21,0,Y,2,625
48,245,0,35,1,N,0,224
48,245,1,18,1,N,0,47
98,245,1,22,1,N,1,55
64,245,0,13,1,N,2,594
48,245,1,19,1,N,0,40
64,325,0,41,1,N,0,34
48,245,1,30,1,N,0,188
48,14,1,18,1,N,1,270
144,238,1,15,1,N,0,281
180,14,1,19,0,Y,0,656
27,306,0,50,0,Y,2,239
42,196,1,16,1,N,2,198
6,206,1,58,1,N,0,653
48,333,1,10,1,N,2,132
6,206,1,39,1,N,0,136
48,245,1,17,1,N,0,653
48,245,1,15,1,N,2,100
48,229,0,12,1,N,0,819
64,300,1,60,1,N,2,209
70,263,1,51,1,N,0,653
101,246,1,33,1,N,1,16
48,320,1,22,1,N,0,192
64,263,1,20,1,N,2,77
48,245,1,34,1,N,2,226
114,245,1,17,1,N,1,359
48,245,1,36,1,N,0,653
48,245,1,17,1,N,0,653
48,245,1,30,1,N,0,653
48,245,1,23,1,N,2,24
48,245,1,18,1,N,0,653
48,121,1,11,1,N,0,310
48,245,1,12,1,N,2,653
48,265,1,20,1,N,0,110
109,245,1,28,1,N,0,453
48,245,1,50,1,N,2,226
150,176,1,44,1,N,2,152
143,320,1,37,1,N,1,12
48,263,1,54,1,N,0,549
98,263,1,24,1,N,0,558
119,263,1,84,0,Y,2,563
180,202,1,25,1,N,0,735
119,263,1,23,0,Y,2,359
27,14,1,48,1,N,2,183
64,263,0,34,1,N,2,148
26,202,0,41,1,N,2,88
48,245,1,21,1,N,0,270
48,24,1,16,1,N,0,191
64,263,0,60,1,N,2,310
114,263,1,36,0,Y,0,496
48,245,1,14,1,N,0,315
48,245,1,35,1,N,0,205
48,245,1,18,1,N,0,204
48,245,1,47,1,N,0,226
64,68,1,55,1,N,0,36
48,61,1,20,1,N,0,74
167,263,1,30,1,N,0,580
111,25,1,24,1,N,1,143
27,245,1,35,1,N,2,178
114,263,1,19,1,N,0,358
180,242,1,47,1,N,0,656
48,24,1,20,1,N,0,227
48,327,1,36,1,N,1,30
64,245,1,16,1,N,0,600
48,245,1,27,1,N,0,21
48,245,1,15,1,N,0,462
101,229,1,14,1,N,2,47
144,245,1,13,1,N,1,35
101,263,0,15,1,N,1,364
89,190,1,41,0,Y,1,454
114,245,1,22,1,N,0,358
101,229,0,9,1,N,1,48
48,245,1,28,1,N,0,25
48,245,1,50,1,N,2,818
74,203,1,50,1,N,0,68
27,245,1,24,1,N,0,210
48,79,1,16,1,N,0,27
48,71,1,55,1,N,1,187
143,172,1,23,0,Y,0,772
48,254,1,34,1,N,2,40
6,229,1,43,1,N,2,382
48,320,1,41,1,N,0,186
48,269,1,29,1,N,2,22
64,21,1,17,1,N,0,574
48,320,0,11,1,N,2,818
48,266,1,20,1,N,0,224
48,202,1,39,1,N,2,465
48,245,1,31,1,N,2,552
119,245,1,33,1,N,2,52
98,124,1,35,1,N,1,392
98,245,1,20,1,N,1,609
73,61,1,16,1,N,2,799
73,242,1,26,1,N,1,651
64,202,1,35,1,N,0,583
119,202,0,20,1,N,0,357
60,17,1,26,1,N,2,582
48,258,1,21,1,N,0,224
48,340,1,42,0,Y,0,506
48,24,1,60,1,N,0,135
101,264,1,28,0,Y,1,308
101,263,0,23,1,N,1,308
48,320,1,20,1,N,0,54
172,264,1,10,0,Y,1,806
6,206,1,44,1,N,0,171
48,245,1,17,1,N,0,804
48,245,1,20,1,N,0,481
48,245,1,19,1,N,0,189
48,245,1,19,1,N,2,330
52,206,1,43,1,N,0,97
48,24,1,18,1,N,0,20
48,263,1,8,1,N,1,369
27,206,1,52,1,N,2,693
144,320,0,29,1,N,0,132
48,245,1,45,1,N,1,47
48,245,1,12,1,N,2,497
48,245,1,21,1,N,0,497
48,14,1,12,1,N,0,497
